"density","porosity","avg cell strain:0","avg cell strain:1","avg cell strain:2","E-Modul","Poissons ratio","Cell Type"
1,1,-3.9751e-05,4.2797e-06,-1.9883e-05,2.1e+05,0.3,	
1,0.95903,-2.5998e-05,6.4882e-06,-1.1582e-05,2.0312e+05,0.3,	
0.93927,0.92009,-1.7258e-05,3.2031e-06,-9.4812e-06,1.4371e+05,0.3,	
0.80945,0.92001,-1.1246e-05,8.8215e-07,-8.263e-06,68305,0.3,	
0.61918,0.93391,-8.0594e-06,-1.1101e-06,-7.9151e-06,18101,0.3,	
0.39401,0.95032,-6.7038e-06,-3.2417e-06,-9.1107e-06,1914.8,0.3,	
0.17431,0.96574,-8.1477e-06,-6.1595e-06,-1.3376e-05,32.868,0.3,	
0.017538,0.95696,-1.4675e-05,-9.7168e-06,-2.1816e-05,0.00053924,0.3,	
0.001,0.88157,-9.2918e-05,6.6041e-06,-2.998e-05,0.0001901,0.3,	
0.001,0.83856,-8.0023e-05,2.2411e-05,-1.1006e-05,0.00018288,0.3,	
0.001,0.81065,-7.2905e-05,2.0474e-05,-5.0777e-06,0.00017819,0.3,	
0.001,0.78729,-6.8164e-05,2.0305e-05,-3.6539e-06,0.00017426,0.3,	
0.001,0.76593,-6.4339e-05,1.9177e-05,-3.246e-06,0.00017068,0.3,	
0.001,0.74652,-6.0867e-05,1.8141e-05,-2.9783e-06,0.00016742,0.3,	
0.001,0.72914,-5.773e-05,1.7179e-05,-2.5759e-06,0.0001645,0.3,	
0.001,0.71356,-5.5058e-05,1.6415e-05,-2.2112e-06,0.00016188,0.3,	
0.001,0.69955,-5.2631e-05,1.5737e-05,-2.0138e-06,0.00015952,0.3,	
0.001,0.68691,-5.0295e-05,1.5061e-05,-1.925e-06,0.0001574,0.3,	
0.001,0.67548,-4.7964e-05,1.4373e-05,-1.8893e-06,0.00015548,0.3,	
0.001,0.66515,-4.5605e-05,1.3667e-05,-1.8684e-06,0.00015375,0.3,	
0.001,0.65579,-4.322e-05,1.2949e-05,-1.843e-06,0.00015217,0.3,	
0.001,0.64733,-4.0828e-05,1.2229e-05,-1.8062e-06,0.00015075,0.3,	
0.001,0.63968,-3.8447e-05,1.1513e-05,-1.7589e-06,0.00014947,0.3,	
0.001,0.63278,-3.6095e-05,1.0807e-05,-1.7052e-06,0.00014831,0.3,	
0.001,0.62658,-3.3781e-05,1.0113e-05,-1.6495e-06,0.00014727,0.3,	
0.001,0.62102,-3.1512e-05,9.4335e-06,-1.5948e-06,0.00014633,0.3,	
0.001,0.61608,-2.9288e-05,8.7679e-06,-1.5427e-06,0.0001455,0.3,	
0.001,0.61172,-2.711e-05,8.1157e-06,-1.4937e-06,0.00014477,0.3,	
0.001,0.60793,-2.4975e-05,7.4769e-06,-1.4482e-06,0.00014413,0.3,	
0.001,0.60448,-2.2886e-05,6.8504e-06,-1.4057e-06,0.00014355,0.3,	
0.001,0.60242,-2.0821e-05,6.234e-06,-1.3658e-06,0.00014321,0.3,	
0.001,0.60051,-1.8803e-05,5.6306e-06,-1.3308e-06,0.00014289,0.3,	
0.001,0.5978,-1.6844e-05,5.0414e-06,-1.2992e-06,0.00014243,0.3,	
0.001,0.59637,-1.4906e-05,4.462e-06,-1.2678e-06,0.00014219,0.3,	
0.001,0.59557,-1.3002e-05,3.8923e-06,-1.2391e-06,0.00014206,0.3,	
0.001,0.59385,-1.1145e-05,3.3337e-06,-1.2119e-06,0.00014177,0.3,	
0.001,0.59507,-9.2998e-06,2.7848e-06,-1.186e-06,0.00014197,0.3,	
0.001,0.59295,-7.5185e-06,2.2465e-06,-1.1646e-06,0.00014162,0.3,	
0.001,0.59411,-5.7469e-06,1.7185e-06,-1.1396e-06,0.00014181,0.3,	
0.001,0.59333,-4.0199e-06,1.1999e-06,-1.1205e-06,0.00014168,0.3,	
0.001,0.59429,-2.3162e-06,6.898e-07,-1.1015e-06,0.00014184,0.3,	
0.001,0.59499,-6.4379e-07,1.8786e-07,-1.0827e-06,0.00014196,0.3,	
