Cell ID,Point Index 0,Point Index 1,Point Index 2,Point Index 3
0,0,1,2,3
1,1,4,5,2
2,4,9,10,5
3,9,16,17,10
4,16,25,26,17
5,25,36,37,26
6,36,49,50,37
7,49,64,65,50
8,64,81,82,65
9,81,100,101,82
10,100,121,122,101
11,121,144,145,122
12,144,169,170,145
13,169,196,197,170
14,196,225,226,197
15,225,256,257,226
16,256,289,290,257
17,289,324,325,290
18,324,361,362,325
19,361,400,401,362
20,400,441,442,401
21,441,484,485,442
22,484,529,530,485
23,529,576,577,530
24,576,625,626,577
25,625,676,677,626
26,676,729,730,677
27,729,784,785,730
28,784,841,842,785
29,841,900,901,842
30,900,961,962,901
31,961,1024,1025,962
32,1024,1089,1090,1025
33,1089,1156,1157,1090
34,1156,1225,1226,1157
35,1225,1296,1297,1226
36,1296,1369,1370,1297
37,1369,1444,1445,1370
38,1444,1521,1522,1445
39,1521,1600,1601,1522
40,1600,1681,1682,1601
41,1681,1764,1765,1682
42,1764,1849,1850,1765
43,1849,1936,1937,1850
44,1936,2025,2026,1937
45,2025,2116,2117,2026
46,2116,2209,2210,2117
47,2209,2304,2305,2210
48,2304,2401,2402,2305
49,2401,2500,2501,2402
50,2500,2601,2602,2501
51,2601,2704,2705,2602
52,2704,2809,2810,2705
53,2809,2916,2917,2810
54,2916,3025,3026,2917
55,3025,3136,3137,3026
56,3136,3249,3250,3137
57,3249,3364,3365,3250
58,3364,3481,3482,3365
59,3481,3600,3601,3482
60,3600,3721,3722,3601
61,3721,3844,3845,3722
62,3844,3969,3970,3845
63,3969,4096,4097,3970
64,4096,4225,4226,4097
65,4225,4356,4357,4226
66,4356,4489,4490,4357
67,4489,4624,4625,4490
68,4624,4761,4762,4625
69,4761,4900,4901,4762
70,4900,5041,5042,4901
71,5041,5184,5185,5042
72,5184,5329,5330,5185
73,5329,5476,5477,5330
74,5476,5625,5626,5477
75,5625,5776,5777,5626
76,5776,5929,5930,5777
77,5929,6084,6085,5930
78,6084,6241,6242,6085
79,6241,6400,6401,6242
80,6400,6561,6562,6401
81,6561,6724,6725,6562
82,6724,6889,6890,6725
83,6889,7056,7057,6890
84,7056,7225,7226,7057
85,7225,7396,7397,7226
86,7396,7569,7570,7397
87,7569,7744,7745,7570
88,7744,7921,7922,7745
89,7921,8100,8101,7922
90,8100,8281,8282,8101
91,8281,8372,8373,8282
92,8372,8463,8464,8373
93,8463,8554,8555,8464
94,8554,8645,8646,8555
95,8645,8736,8737,8646
96,8736,8827,8828,8737
97,8827,8918,8919,8828
98,8918,9009,9010,8919
99,9009,9100,9101,9010
100,9100,9191,9192,9101
101,9191,9282,9283,9192
102,9282,9373,9374,9283
103,9373,9464,9465,9374
104,9464,9555,9556,9465
105,9555,9646,9647,9556
106,9646,9737,9738,9647
107,9737,9828,9829,9738
108,9828,9919,9920,9829
109,9919,10010,10011,9920
110,10010,10101,10102,10011
111,10101,10192,10193,10102
112,10192,10283,10284,10193
113,10283,10374,10375,10284
114,10374,10465,10466,10375
115,10465,10556,10557,10466
116,10556,10647,10648,10557
117,10647,10738,10739,10648
118,10738,10829,10830,10739
119,10829,10920,10921,10830
120,10920,11011,11012,10921
121,11011,11102,11103,11012
122,11102,11193,11194,11103
123,11193,11284,11285,11194
124,11284,11375,11376,11285
125,11375,11466,11467,11376
126,11466,11557,11558,11467
127,11557,11648,11649,11558
128,11648,11739,11740,11649
129,11739,11830,11831,11740
130,11830,11921,11922,11831
131,11921,12012,12013,11922
132,12012,12103,12104,12013
133,12103,12194,12195,12104
134,12194,12285,12286,12195
135,12285,12376,12377,12286
136,12376,12467,12468,12377
137,12467,12558,12559,12468
138,12558,12649,12650,12559
139,12649,12740,12741,12650
140,12740,12831,12832,12741
141,12831,12922,12923,12832
142,12922,13013,13014,12923
143,13013,13104,13105,13014
144,13104,13195,13196,13105
145,13195,13286,13287,13196
146,13286,13377,13378,13287
147,13377,13468,13469,13378
148,13468,13559,13560,13469
149,13559,13650,13651,13560
150,13650,13741,13742,13651
151,13741,13832,13833,13742
152,13832,13923,13924,13833
153,13923,14014,14015,13924
154,14014,14105,14106,14015
155,14105,14196,14197,14106
156,14196,14287,14288,14197
157,14287,14378,14379,14288
158,14378,14469,14470,14379
159,14469,14560,14561,14470
160,14560,14651,14652,14561
161,14651,14742,14743,14652
162,14742,14833,14834,14743
163,14833,14924,14925,14834
164,14924,15015,15016,14925
165,15015,15106,15107,15016
166,15106,15197,15198,15107
167,15197,15288,15289,15198
168,15288,15379,15380,15289
169,15379,15470,15471,15380
170,15470,15561,15562,15471
171,15561,15652,15653,15562
172,15652,15743,15744,15653
173,15743,15834,15835,15744
174,15834,15925,15926,15835
175,15925,16016,16017,15926
176,16016,16107,16108,16017
177,16107,16198,16199,16108
178,16198,16289,16290,16199
179,16289,16380,16381,16290
180,3,2,7,8
181,2,5,6,7
182,5,10,11,6
183,10,17,18,11
184,17,26,27,18
185,26,37,38,27
186,37,50,51,38
187,50,65,66,51
188,65,82,83,66
189,82,101,102,83
190,101,122,123,102
191,122,145,146,123
192,145,170,171,146
193,170,197,198,171
194,197,226,227,198
195,226,257,258,227
196,257,290,291,258
197,290,325,326,291
198,325,362,363,326
199,362,401,402,363
200,401,442,443,402
201,442,485,486,443
202,485,530,531,486
203,530,577,578,531
204,577,626,627,578
205,626,677,678,627
206,677,730,731,678
207,730,785,786,731
208,785,842,843,786
209,842,901,902,843
210,901,962,963,902
211,962,1025,1026,963
212,1025,1090,1091,1026
213,1090,1157,1158,1091
214,1157,1226,1227,1158
215,1226,1297,1298,1227
216,1297,1370,1371,1298
217,1370,1445,1446,1371
218,1445,1522,1523,1446
219,1522,1601,1602,1523
220,1601,1682,1683,1602
221,1682,1765,1766,1683
222,1765,1850,1851,1766
223,1850,1937,1938,1851
224,1937,2026,2027,1938
225,2026,2117,2118,2027
226,2117,2210,2211,2118
227,2210,2305,2306,2211
228,2305,2402,2403,2306
229,2402,2501,2502,2403
230,2501,2602,2603,2502
231,2602,2705,2706,2603
232,2705,2810,2811,2706
233,2810,2917,2918,2811
234,2917,3026,3027,2918
235,3026,3137,3138,3027
236,3137,3250,3251,3138
237,3250,3365,3366,3251
238,3365,3482,3483,3366
239,3482,3601,3602,3483
240,3601,3722,3723,3602
241,3722,3845,3846,3723
242,3845,3970,3971,3846
243,3970,4097,4098,3971
244,4097,4226,4227,4098
245,4226,4357,4358,4227
246,4357,4490,4491,4358
247,4490,4625,4626,4491
248,4625,4762,4763,4626
249,4762,4901,4902,4763
250,4901,5042,5043,4902
251,5042,5185,5186,5043
252,5185,5330,5331,5186
253,5330,5477,5478,5331
254,5477,5626,5627,5478
255,5626,5777,5778,5627
256,5777,5930,5931,5778
257,5930,6085,6086,5931
258,6085,6242,6243,6086
259,6242,6401,6402,6243
260,6401,6562,6563,6402
261,6562,6725,6726,6563
262,6725,6890,6891,6726
263,6890,7057,7058,6891
264,7057,7226,7227,7058
265,7226,7397,7398,7227
266,7397,7570,7571,7398
267,7570,7745,7746,7571
268,7745,7922,7923,7746
269,7922,8101,8102,7923
270,8101,8282,8283,8102
271,8282,8373,8374,8283
272,8373,8464,8465,8374
273,8464,8555,8556,8465
274,8555,8646,8647,8556
275,8646,8737,8738,8647
276,8737,8828,8829,8738
277,8828,8919,8920,8829
278,8919,9010,9011,8920
279,9010,9101,9102,9011
280,9101,9192,9193,9102
281,9192,9283,9284,9193
282,9283,9374,9375,9284
283,9374,9465,9466,9375
284,9465,9556,9557,9466
285,9556,9647,9648,9557
286,9647,9738,9739,9648
287,9738,9829,9830,9739
288,9829,9920,9921,9830
289,9920,10011,10012,9921
290,10011,10102,10103,10012
291,10102,10193,10194,10103
292,10193,10284,10285,10194
293,10284,10375,10376,10285
294,10375,10466,10467,10376
295,10466,10557,10558,10467
296,10557,10648,10649,10558
297,10648,10739,10740,10649
298,10739,10830,10831,10740
299,10830,10921,10922,10831
300,10921,11012,11013,10922
301,11012,11103,11104,11013
302,11103,11194,11195,11104
303,11194,11285,11286,11195
304,11285,11376,11377,11286
305,11376,11467,11468,11377
306,11467,11558,11559,11468
307,11558,11649,11650,11559
308,11649,11740,11741,11650
309,11740,11831,11832,11741
310,11831,11922,11923,11832
311,11922,12013,12014,11923
312,12013,12104,12105,12014
313,12104,12195,12196,12105
314,12195,12286,12287,12196
315,12286,12377,12378,12287
316,12377,12468,12469,12378
317,12468,12559,12560,12469
318,12559,12650,12651,12560
319,12650,12741,12742,12651
320,12741,12832,12833,12742
321,12832,12923,12924,12833
322,12923,13014,13015,12924
323,13014,13105,13106,13015
324,13105,13196,13197,13106
325,13196,13287,13288,13197
326,13287,13378,13379,13288
327,13378,13469,13470,13379
328,13469,13560,13561,13470
329,13560,13651,13652,13561
330,13651,13742,13743,13652
331,13742,13833,13834,13743
332,13833,13924,13925,13834
333,13924,14015,14016,13925
334,14015,14106,14107,14016
335,14106,14197,14198,14107
336,14197,14288,14289,14198
337,14288,14379,14380,14289
338,14379,14470,14471,14380
339,14470,14561,14562,14471
340,14561,14652,14653,14562
341,14652,14743,14744,14653
342,14743,14834,14835,14744
343,14834,14925,14926,14835
344,14925,15016,15017,14926
345,15016,15107,15108,15017
346,15107,15198,15199,15108
347,15198,15289,15290,15199
348,15289,15380,15381,15290
349,15380,15471,15472,15381
350,15471,15562,15563,15472
351,15562,15653,15654,15563
352,15653,15744,15745,15654
353,15744,15835,15836,15745
354,15835,15926,15927,15836
355,15926,16017,16018,15927
356,16017,16108,16109,16018
357,16108,16199,16200,16109
358,16199,16290,16291,16200
359,16290,16381,16382,16291
360,8,7,14,15
361,7,6,13,14
362,6,11,12,13
363,11,18,19,12
364,18,27,28,19
365,27,38,39,28
366,38,51,52,39
367,51,66,67,52
368,66,83,84,67
369,83,102,103,84
370,102,123,124,103
371,123,146,147,124
372,146,171,172,147
373,171,198,199,172
374,198,227,228,199
375,227,258,259,228
376,258,291,292,259
377,291,326,327,292
