Point ID,density,E-Modul,Poissons ratio,porosity
0,1,210000,0.3,1
1,1,206558,0.3,0.979514
2,0.969637,173414,0.3,0.939561
3,0.874362,106008,0.3,0.920055
4,0.714314,43203.1,0.3,0.926962
5,0.506591,10007.8,0.3,0.942116
6,0.284159,973.839,0.3,0.958031
7,0.0959248,16.4345,0.3,0.961347
8,0.00926917,0.00036467,0.3,0.919262
9,0.001,0.000186491,0.3,0.860063
10,0.001,0.000180534,0.3,0.824603
11,0.001,0.000176227,0.3,0.79897
12,0.001,0.00017247,0.3,0.776608
13,0.001,0.000169046,0.3,0.756224
14,0.001,0.000165956,0.3,0.737831
15,0.001,0.000163187,0.3,0.721351
16,0.001,0.000160701,0.3,0.706553
17,0.001,0.000158462,0.3,0.693226
18,0.001,0.000156441,0.3,0.681195
19,0.001,0.000154613,0.3,0.670317
20,0.001,0.000152959,0.3,0.660472
21,0.001,0.000151462,0.3,0.651562
22,0.001,0.000150109,0.3,0.643504
23,0.001,0.000148887,0.3,0.63623
24,0.001,0.000147786,0.3,0.629679
25,0.001,0.000146799,0.3,0.623801
26,0.001,0.000145917,0.3,0.618551
27,0.001,0.000145135,0.3,0.613897
28,0.001,0.000144451,0.3,0.609824
29,0.001,0.000143843,0.3,0.606208
30,0.001,0.00014338,0.3,0.603454
31,0.001,0.000143046,0.3,0.601466
32,0.001,0.000142658,0.3,0.599154
33,0.001,0.00014231,0.3,0.597085
34,0.001,0.000142123,0.3,0.595971
35,0.001,0.000141912,0.3,0.594714
36,0.001,0.00014187,0.3,0.594463
37,0.001,0.000141794,0.3,0.59401
38,0.001,0.000141713,0.3,0.593531
39,0.001,0.000141745,0.3,0.593722
40,0.001,0.000141761,0.3,0.593812
41,0.001,0.0001419,0.3,0.59464
42,0.001,0.000142048,0.3,0.595521
43,0.001,0.000142258,0.3,0.596772
44,0.001,0.00014252,0.3,0.598331
45,0.001,0.000142811,0.3,0.600067
46,0.001,0.000143143,0.3,0.602039
47,0.001,0.000143528,0.3,0.604331
48,0.001,0.000144007,0.3,0.607181
49,0.001,0.000144468,0.3,0.609929
50,0.001,0.000145131,0.3,0.613876
51,0.001,0.00014604,0.3,0.619287
52,0.001,0.000146489,0.3,0.621957
53,0.001,0.000146421,0.3,0.621554
54,0.001,0.000147221,0.3,0.626316
55,0.001,0.000147774,0.3,0.629606
56,0.001,0.000147749,0.3,0.629458
57,0.001,0.000148315,0.3,0.632825
58,0.001,0.000148844,0.3,0.635975
59,0.001,0.000149389,0.3,0.63922
60,0.001,0.000149943,0.3,0.642517
61,0.001,0.000150498,0.3,0.645818
62,0.001,0.000151049,0.3,0.649103
63,0.001,0.000151598,0.3,0.652367
64,0.001,0.000152142,0.3,0.655604
65,0.001,0.000152679,0.3,0.658802
66,0.001,0.000153208,0.3,0.66195
67,0.001,0.000153726,0.3,0.665038
68,0.001,0.000154233,0.3,0.668055
69,0.001,0.000154727,0.3,0.670992
70,0.001,0.000155206,0.3,0.673842
71,0.001,0.000155669,0.3,0.676598
72,0.001,0.000156114,0.3,0.679251
73,0.001,0.000156542,0.3,0.681795
74,0.001,0.00015695,0.3,0.684223
75,0.001,0.000157337,0.3,0.686531
76,0.001,0.000157704,0.3,0.688713
77,0.001,0.000158049,0.3,0.690765
78,0.001,0.00015837,0.3,0.692681
79,0.001,0.000158669,0.3,0.694456
80,0.001,0.000158943,0.3,0.69609
81,0.001,0.000159193,0.3,0.697577
82,0.001,0.000159418,0.3,0.698917
83,0.001,0.000159618,0.3,0.700105
84,0.001,0.000159792,0.3,0.701139
85,0.001,0.000159939,0.3,0.702018
86,0.001,0.00016006,0.3,0.70274
87,0.001,0.000160155,0.3,0.703302
